name;professions
a₂-bi₂-li₂-a;{'nubanda[overseer]', 'X', 'šabra[administrator]', 'gugal[inspector]'}
a₂-bi₂-lum;{'MAR.TU[westerner]', 'dumu[child]'}
a₂-bi₂-lum-ma;{'šarrabdu[administrator]', 'azu[doctor]', 'nubanda[overseer]', 'u[and]'}
a₂-bu-ru-ru-ma;{'X'}
a₂-dingir-ga₂;{'ragaba[rider]'}
a₂-du-du;{'ŋiri[foot]'}
a₂-ge₆-ba-a;{'lugal[king]', 'ud[sun]'}
a₂-gu₄;{'gud[ox]'}
a₂-ha-pa₂-tal;{'lu[person]'}
a₂-na-na;{'ara[times]', 'ugula[overseer]', 'PN'}
a₂-nu-nu;{'nagada[herdsman]'}
a₂-pi-li₂-a;{'dumu[child]'}
a₂-u₂-u₂;{'sipad[shepherd]'}
a₂-zi-da-ka;{'ŋal[be]'}
a₂-{d}inanna;{'dumu[child]'}
a₂]-ni-id;{'sukkal[secretary]'}
ba#-na#-na#;{'lu[person]'}
ba-[...];{'ŋiri[foot]', 'u'}
ba-[x;{'u'}
ba-a;{'ensik[ruler]', 'sukkal[secretary]'}
ba-a-a;{'nubanda[overseer]', 'sukkal[secretary]'}
ba-a-ba-lum;{'kuš[official]'}
ba-a-ga;{'kurušda[fattener]'}
ba-a-la-a;{'nubanda[overseer]'}
ba-a-mu;{'šagia[cup-bearer]'}
ba-a-na-tum;{'lu[person]'}
ba-ak-i₃-li₂-a;{'nar[musician]'}
ba-ak-ti;{'X'}
ba-an-zi-ge;{'unud[cowherd]'}
ba-ar-ba-na-zu;{'X'}
ba-aš-ti;{'eʾudu[sheephouse]'}
ba-ba-an-še-[en;{'šagia[cup-bearer]'}
ba-ba-an-še-en;{'šagia[cup-bearer]'}
ba-ba-an-še-en₆;{'šagia[cup-bearer]'}
ba-ba-lum;{'kuš[official]'}
ba-ba-ti;{'agaʾus[soldier]', 'u', 'šeš[brother]'}
ba-ba-za;{'munus[woman]'}
ba-er;{'ki[place]', 'mu[year]'}
ba-ga-tum;{'šabra[administrator]'}
ba-gu-um;{'mušendu[bird-catcher]', 'X'}
ba-la-a;{'u'}
ba-la-la;{'dumu[child]', 'nar[musician]', 'lu[person]', 'ud[sun]'}
ba-mu;{'nubanda[overseer]', 'ensik[ruler]'}
ba-na-na;{'lu[person]'}
ba-na-nu-um;{'nubanda[overseer]'}
ba-ni#;{'MN'}
ba-ni-lum;{'AN'}
ba-num₂;{'MAR.TU[westerner]'}
ba-ri-a-šum;{'lu[person]'}
ba-sag?;{'gunu[speckled]'}
ba-sa₆;{'kurušda[fattener]', 'sukkal[secretary]'}
ba-sa₆-ga;{'damgar[merchant]'}
ba-tu-uk-ra-ad;{'dumu[child]'}
ba-x;{'mu.DU[delivery]', 'u'}
ba-za-mu;{'ensik[ruler]'}
ba-za-ti-a;{'nubanda[overseer]'}
ba-za-za;{'AN', 'sukkal[secretary]', 'kuš[official]'}
ba-zi;{'gun[load]', 'AN', 'itud[moon]', 'sipad[shepherd]', 'šag[heart]', 'ud[sun]'}
ba-šu#?-u₂;{'damgar[merchant]'}
be#-li₂#-dan;{'X'}
be-li₂-a;{'dubsar[scribe]'}
be-li₂-a-ri₂-ik;{'ki[place]', 'u[and]'}
be-li₂-a-ri₂-ik#;{'ensik[ruler]'}
