p_index,people_involved
124453,"[(('lugal-i₃-mah', 'šagia[cup-bearer]'), ""['representative']"", 1), (('lu₂-sukkal', 'šagia[cup-bearer]'), ""['representative']"", 0), (('uš-mu', 'šagia[cup-bearer]'), ""['representative']"", 0), (('en-{d}nanše-ki-ag₂', 'šagia[cup-bearer]'), ""['representative']"", 4), (('na-sa₆', 'PN'), ""['source']"", 115)]"
124023,"[(('šu-{d}suen', 'None'), ""['new owner']"", 9), (('a-a-kal-la', 'None'), ""['representative']"", 73), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 113), (('maš-tur', 'šagia[cup-bearer]'), ""['representative']"", 19), (('šeš-kal-la', 'None'), ""['new owner']"", 14)]"
303667,"[(('i₃-lal₃-lum', 'None'), ""['new owner']"", 55), (('šu-i₃-li₂', 'nubanda[overseer]'), ""['new owner']"", 1), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 224), (('ur-tilla₃', 'FN'), ""['new owner']"", 9), (('en-ur₂-ku₃-ge', 'None'), ""['new owner']"", 5), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 222), (('ba-ba-an-še-en₆', 'šagia[cup-bearer]'), ""['representative']"", 2)]"
129432,"[(('{d}nanna-ku₃-zu', 'None'), ""['intermediary']"", 2), (('a-li₂-du₁₀', 'None'), ""['new owner']"", 1), (('in-ta-e₃-a', 'None'), ""['source']"", 805), (('šu-ma-ma', 'None'), ""['intermediary']"", 75), (('{d}šul-gi-ra', 'None'), ""['new owner']"", 9)]"
122157,"[(('er₃-ra-na-da', 'None'), ""['representative']"", 7), (('ur-{d}suen', 'dumu[child]'), ""['new owner']"", 5), (('lu₂-{d}nanna', 'šabra[administrator]'), ""['new owner']"", 7), (('ur-nigar', 'None'), ""['new owner']"", 1), (('{d}nanše-GIR₂@g?-gal', 'None'), ""['representative']"", 31), (('šeš-da-da', 'FN'), ""['new owner']"", 29), (('šeš-da-da', 'FN'), ""['new owner']"", 30), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 99), (('ARAD₂-mu', 'None'), ""['representative']"", 268), (('lu₂-{d}nanna', 'None'), ""['new owner']"", 11), (('za-ri₂-iq', 'None'), ""['new owner']"", 0), (('na-sa₆', 'PN'), ""['source']"", 79), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 28)]"
107724,"[(('šeš-da-da', 'FN'), ""['new owner']"", 10), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 57), (('ARAD₂-mu', 'None'), ""['new owner']"", 143), (('ur-am-ma', 'None'), ""['new owner']"", 0), (('na-sa₆', 'PN'), ""['source']"", 41), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 14)]"
117342,"[(('lugal-ezem', 'None'), ""['source']"", 10), (('ur-nig₂', 'None'), ""['intermediary']"", 20), (('sa₃-si₂', 'None'), ""['source']"", 28), (('a-hu-ni', 'None'), ""['source']"", 77), (('du₁₀-i₃-li₂', 'None'), ""['recipient']"", 4)]"
134066,"[(('a₂-bi₂-la-tum', 'None'), ""['new owner']"", 74), (('ARAD₂-mu', 'None'), ""['representative']"", 533), (('ur-mu', 'None'), ""['new owner']"", 4), (('ad-da-tur', 'None'), ""['new owner']"", 6), (('{d}en-lil₂-la₂-i₃-sa₆', 'None'), ""['new owner']"", 3)]"
118507,"[(('lu₂-{d}ba-ba₆', 'None'), ""['source']"", 10), (('igi-sa₆-sa₆', 'None'), ""['source']"", 0), (('ma₂-gur₈-re', 'None'), ""['source']"", 0), (('{d}dumu-zi-bad₃', 'None'), ""['source']"", 0), (('{d}dumu-zi-bad₃', 'None'), ""['source']"", 1), (('ulu₃-di', 'None'), ""['recipient']"", 1), (('ur-nig₂', 'None'), ""['recipient']"", 22), (('lugal-he₂-gal₂', 'None'), ""['source']"", 1), (('ur-{d}lamma', 'None'), ""['source']"", 6), (('ur-{d}lamma', 'None'), ""['source']"", 7)]"
135108,"[(('a-hu-we-er', 'None'), ""['source']"", 256), (('ARAD₂-mu', 'None'), ""['representative']"", 568), (('ku₃-{d}nanna', 'sukkal[secretary]'), ""['intermediary']"", 5), (('{d}šul-gi-iri-mu', 'None'), ""['intermediary']"", 675), (('na-bi₂-{d}suen', 'sukkal[secretary]'), ""['intermediary']"", 5), (('šu-{d}šul-gi', 'sukkal[secretary]'), ""['intermediary']"", 13)]"
