,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42663,{d}šu-{d}suen-la-ma-ha-ar[]PN,P135567.25.1,P135567,,šagia[cup-bearer]N,SS06 - 02 - 27,81.0227
42664,ARAD₂-mu[]PN,P135567.29.1,P135567,representative,,SS06 - 02 - 27,81.0227
42665,{d}šul-gi-i₃-li₂-ta[]PN,P135567.32.2,P135567,source,,SS06 - 02 - 27,81.0227
42666,ur-{d}šul-pa-e₃[]PN,P135567.41.1,P135567,,dubsar[scribe]N,SS06 - 02 - 27,81.0227
42667,ur-{d}ha-ia₃[]PN,P135567.43.2,P135567,,arad[slave]N,SS06 - 02 - 27,81.0227
42668,in-ta-e₃-a[]PN,P135571.5.2,P135571,source,,SS06 - 03 - 00,81.03
42669,AN[]PN,P135571.14.2,P135571,,,SS06 - 03 - 00,81.03
42670,{d}amar-{d}suen-ke₄[]PN,P134675.22.2,P134675,,,AS04 - 08 - 00,70.08
42671,{d}nin-ti₂-ug₅-ga[]PN,P134676.9.3,P134676,,,AS01 - 08 - 19,67.0819
42672,{d}en-ki[]PN,P134676.11.3,P134676,,,AS01 - 08 - 19,67.0819
42673,er₃-ra-na-da[]PN,P134676.15.1,P134676,,šagia[cup-bearer]N,AS01 - 08 - 19,67.0819
