id,source,target,p_index,year,type,source's role,target's role
2940,1594,2108,143104,{Amar-Suen.01.11.26},Undirected,,{'recipient'}
2941,203,850,105994,{Amar-Suen.08.04.00},Undirected,"{'recipient', 'source'}",
2942,203,2235,105994,{Amar-Suen.08.04.00},Undirected,"{'recipient', 'source'}",{'intermediary'}
2943,850,2235,105994,{Amar-Suen.08.04.00},Undirected,,{'intermediary'}
2944,203,1395,104530,{Amar-Suen.08.08.00},Undirected,{'source'},
2945,203,1908,104530,{Amar-Suen.08.08.00},Undirected,{'source'},
2946,1395,1908,104530,{Amar-Suen.08.08.00},Undirected,,
2947,203,464,303365,{Amar-Suen.09.04.00},Undirected,{'source'},
2948,203,926,303365,{Amar-Suen.09.04.00},Undirected,{'source'},
2949,464,926,303365,{Amar-Suen.09.04.00},Undirected,,
2950,203,1092,125547,{Amar-Suen.05.02.07},Undirected,{'source'},
2951,203,1047,104469,{Amar-Suen.08.02.00},Undirected,{'source'},
2952,203,1372,128766,{Amar-Suen.02.02.09},Undirected,{'source'},
2953,203,1598,126251,{Amar-Suen.03.05.04},Undirected,{'source'},
2954,203,1724,126251,{Amar-Suen.03.05.04},Undirected,{'source'},
2955,1598,1724,126251,{Amar-Suen.03.05.04},Undirected,,
2956,203,1727,128103,{Amar-Suen.05.12.13},Undirected,{'source'},{'intermediary'}
2957,203,2212,128103,{Amar-Suen.05.12.13},Undirected,{'source'},
2958,1727,2212,128103,{Amar-Suen.05.12.13},Undirected,{'intermediary'},
2959,203,1493,134812,{Amar-Suen.08.11.00},Undirected,{'source'},{'recipient'}
2960,203,1913,134812,{Amar-Suen.08.11.00},Undirected,{'source'},{'recipient'}
2961,1493,1913,134812,{Amar-Suen.08.11.00},Undirected,{'recipient'},{'recipient'}
2962,203,1543,416449,{Shu-Suen.04.05.26},Undirected,{'source'},{'source'}
2963,203,1993,416449,{Shu-Suen.04.05.26},Undirected,{'source'},
2964,1543,1993,416449,{Shu-Suen.04.05.26},Undirected,{'source'},
2965,203,2212,122196,{Amar-Suen.02.10.20},Undirected,{'source'},{'recipient'}
2966,203,2282,122196,{Amar-Suen.02.10.20},Undirected,{'source'},
2967,2212,2282,122196,{Amar-Suen.02.10.20},Undirected,{'recipient'},
2968,203,1369,118318,{Amar-Suen.01.11.27},Undirected,,{'representative'}
2969,203,459,321016,{Amar-Suen.04.07.09},Undirected,{'source'},{'recipient'}
2970,203,1788,321016,{Amar-Suen.04.07.09},Undirected,{'source'},{'recipient'}
2971,459,1788,321016,{Amar-Suen.04.07.09},Undirected,{'recipient'},{'recipient'}
2972,203,810,125010,{Amar-Suen.04.12.29},Undirected,{'source'},{'recipient'}
2973,203,1320,143923,"{Amar-Suen.02.01.01, Amar-Suen.02.01.04}",Undirected,{'source'},
2974,203,1575,143923,"{Amar-Suen.02.01.01, Amar-Suen.02.01.04}",Undirected,{'source'},{'recipient'}
2975,1320,1575,143923,"{Amar-Suen.02.01.01, Amar-Suen.02.01.04}",Undirected,,{'recipient'}
2976,203,1874,143993,{Amar-Suen.04.08.05},Undirected,{'source'},{'recipient'}
2977,203,2092,143993,{Amar-Suen.04.08.05},Undirected,{'source'},{'recipient'}
2978,1874,2092,143993,{Amar-Suen.04.08.05},Undirected,{'recipient'},{'recipient'}
2979,203,2219,107762,{Amar-Suen.02.01.08},Undirected,{'source'},{'recipient'}
2980,203,1788,134810,{Amar-Suen.03.10.22},Undirected,{'source'},{'recipient'}
2981,203,2219,134810,{Amar-Suen.03.10.22},Undirected,{'source'},
2982,1788,2219,134810,{Amar-Suen.03.10.22},Undirected,{'recipient'},
2983,203,2219,433581,{Amar-Suen.04.11.00},Undirected,{'source'},{'recipient'}
2984,203,2185,201342,{Amar-Suen.05.07.06},Undirected,{'source'},
2985,203,808,210455,{Amar-Suen.04.03.20 (us2 year)},Undirected,{'source'},{'recipient'}
2986,203,1642,210455,{Amar-Suen.04.03.20 (us2 year)},Undirected,{'source'},{'intermediary'}
2987,808,1642,210455,{Amar-Suen.04.03.20 (us2 year)},Undirected,{'recipient'},{'intermediary'}
2988,203,1148,124079,{Amar-Suen.08.06.01},Undirected,{'source'},{'recipient'}
2989,203,1642,124079,{Amar-Suen.08.06.01},Undirected,{'source'},{'recipient'}
2990,1148,1642,124079,{Amar-Suen.08.06.01},Undirected,{'recipient'},{'recipient'}
2991,203,2181,134729,{Amar-Suen.03.09.00},Undirected,{'source'},{'recipient'}
2992,203,1100,115426,{Amar-Suen.02.03.10},Undirected,{'source'},
2993,203,1328,106317,{Shulgi.47.08.00 (us2 year)},Undirected,{'intermediary'},{'source'}
2994,203,245,104519,"{Amar-Suen.07.06.00 ?, Amar-Suen.07.12.00 ?, Amar-Suen.08.01.30}",Undirected,"{'recipient', 'source'}",
2995,203,245,104519,"{Amar-Suen.07.06.00 ?, Amar-Suen.07.12.00 ?, Amar-Suen.08.01.30}",Undirected,"{'recipient', 'source'}",
2996,245,245,104519,"{Amar-Suen.07.06.00 ?, Amar-Suen.07.12.00 ?, Amar-Suen.08.01.30}",Undirected,,
2997,203,1788,145494,{Amar-Suen.03.10.23},Undirected,{'source'},{'recipient'}
2998,203,1688,106119,,Undirected,"{'recipient', 'source'}",{'recipient'}
2999,203,1100,111978,,Undirected,{'source'},{'recipient'}
3000,203,796,114357,,Undirected,{'source'},
3001,203,1945,114357,,Undirected,{'source'},{'recipient'}
3002,796,1945,114357,,Undirected,,{'recipient'}
3003,203,1511,122671,,Undirected,{'source'},
3004,203,1573,126054,,Undirected,"{'recipient', 'source'}",
3005,203,1311,126244,,Undirected,{'source'},{'recipient'}
3006,203,1318,130870,,Undirected,{'source'},
3007,203,473,131660,,Undirected,,{'recipient'}
3008,203,223,124399,{Shulgi.33.05.00 ?},Undirected,{'recipient'},
3009,203,2296,249013,{Shulgi.42.01.23},Undirected,{'source'},
3010,203,2094,416463,{Shulgi.44.05.12},Undirected,"{'recipient', 'source'}",
3011,203,2013,102966,{Shulgi.44.06.18},Undirected,"{'recipient', 'source'}","{'representative', 'source'}"
3012,203,1328,103971,{Shulgi.44.07.00},Undirected,{'source'},{'source'}
3013,203,1567,103971,{Shulgi.44.07.00},Undirected,{'source'},{'recipient'}
3014,1328,1567,103971,{Shulgi.44.07.00},Undirected,{'source'},{'recipient'}
3015,1111,1111,303506,{Shulgi.46.01.00},Undirected,{'source'},{'source'}
3016,203,219,303689,{Shulgi.46.05.04 (us2 year)},Undirected,{'source'},
3017,203,2267,303689,{Shulgi.46.05.04 (us2 year)},Undirected,{'source'},
3018,219,2267,303689,{Shulgi.46.05.04 (us2 year)},Undirected,,
3019,203,1111,131691,{Shulgi.46.08.00},Undirected,,{'source'}
3020,203,334,104066,{Shulgi.47.05.00 (us2 year)},Undirected,{'source'},
3021,203,1597,104066,{Shulgi.47.05.00 (us2 year)},Undirected,{'source'},{'intermediary'}
